"country","Year","Population","pop_100k"
"Portugal",2020,10196707,101.96707
"Puerto Rico",2020,2860840,28.6084
"Qatar",2020,2881060,28.8106
"Reunion",2020,895308,8.95308
"Romania",2020,19237682,192.37682
"Russia",2020,145934460,1459.3446
"Rwanda",2020,12952209,129.52209
"Saint Barthlemy",2020,9885,0.09885
"Saint Helena",2020,6071,0.06071
"Saint Kitts and Nevis",2020,53192,0.53192
"Saint Lucia",2020,183629,1.83629
"Saint Martin (French part)",2020,38659,0.38659
"Saint Pierre and Miquelon",2020,5795,0.05795
"Saint Vincent and the Grenadines",2020,110947,1.10947
"Samoa",2020,198410,1.9841
"San Marino",2020,33938,0.33938
"Sao Tome and Principe",2020,219161,2.19161
"Saudi Arabia",2020,34813867,348.13867
"Senegal",2020,16743930,167.4393
"Serbia",2020,8737370,87.3737
"Seychelles",2020,98340,0.9834
"Sierra Leone",2020,7976985,79.76985
"Singapore",2020,5850343,58.50343
"Sint Maarten (Dutch part)",2020,42882,0.42882
"Slovakia",2020,5459643,54.59643
"Slovenia",2020,2078931,20.78931
"Solomon Islands",2020,686878,6.86878
"Somalia",2020,15893219,158.93219
"South Africa",2020,59308690,593.0869
"South America",2020,430759771,4307.59771
"Korea, Republic of",2020,51269183,512.69183
"South Sudan",2020,11193729,111.93729
"Spain",2020,46754783,467.54783
"Sri Lanka",2020,21413250,214.1325
"Sudan",2020,43849269,438.49269
"Suriname",2020,586634,5.86634
"Sweden",2020,10099270,100.9927
"Switzerland",2020,8654618,86.54618
"Syria",2020,17500657,175.00657
"Taiwan",2020,23816775,238.16775
"Tajikistan",2020,9537642,95.37642
"Tanzania",2020,59734213,597.34213
"Thailand",2020,69799978,697.99978
"Timor-Leste",2020,1318442,13.18442
"Togo",2020,8278736,82.78736
"Tokelau",2020,1350,0.0135
"Tonga",2020,105697,1.05697
"Trinidad and Tobago",2020,1399491,13.99491
"Tunisia",2020,11818618,118.18618
"Turkey",2020,84339067,843.39067
"Turkmenistan",2020,6031187,60.31187
"Turks and Caicos Islands",2020,38718,0.38718
"Tuvalu",2020,11792,0.11792
"Uganda",2020,45741000,457.41
"Ukraine",2020,43733759,437.33759
"United Arab Emirates",2020,9890400,98.904
"United Kingdom",2020,67886004,678.86004
"United States",2020,331002647,3310.02647
"United States Virgin Islands",2020,104423,1.04423
"Uruguay",2020,3473727,34.73727
"Uzbekistan",2020,33469199,334.69199
"Vanuatu",2020,307150,3.0715
"Vatican",2020,809,0.00809
"Venezuela",2020,28435943,284.35943
"Vietnam",2020,97338583,973.38583
"Wallis and Futuna",2020,11246,0.11246
"Western Sahara",2020,597330,5.9733
"World",2020,7794798725,77947.98725
"Yemen",2020,29825968,298.25968
"Zambia",2020,18383956,183.83956
"Zimbabwe",2020,14862927,148.62927
